Rk,Player,Nation,Pos,Squad,Age,Apps,Starts,Subs,Min,Mn/Ap,Gls,Ast,PK,PKatt,Fls,CrdY,CrdR,SoT,Gls,G+A,G-PK,G+A-PK,SoT,Fls,Crd
58,Cobi Jones\Cobi-Jones,us USA,FWMF,LA Galaxy,29,25,25,0,2291,92,7,5,0,0,30,6,0,24,0.27,0.47,0.27,0.47,0.94,1.18,0.24
59,Mark Dougherty\Mark-Dougherty,us USA,GK,Columbus Crew,32,25,25,0,2269,91,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,Brian West\Brian-West,us USA,MF,Columbus Crew,21,28,24,4,2249,80,6,3,0,0,44,5,0,17,0.24,0.36,0.24,0.36,0.68,1.76,0.20
61,Scott Vermillion\Scott-Vermillion,us USA,DF,Colorado Rapids,23,28,25,3,2244,80,2,0,0,0,55,6,0,9,0.08,0.08,0.08,0.08,0.36,2.21,0.24
62,Robin Fraser\Robin-Fraser,us USA,DF,LA Galaxy,33,25,24,1,2244,90,0,0,0,0,35,5,1,1,0.00,0.00,0.00,0.00,0.04,1.40,0.24
63,Diego Serna\Diego-Serna,co COL,FW,Miami Fusion,26,31,25,6,2236,72,16,9,1,1,83,8,0,41,0.64,1.01,0.60,0.97,1.65,3.34,0.32
64,Jaime Moreno\Jaime-Moreno,bo BOL,FW,D.C. United,26,25,25,0,2213,89,12,3,2,3,35,0,0,37,0.49,0.61,0.41,0.53,1.50,1.42,0.00
65,Paul Caligiuri\Paul-Caligiuri,us USA,DFMF,LA Galaxy,35,28,24,4,2212,79,3,2,0,0,36,3,0,9,0.12,0.20,0.12,0.20,0.37,1.46,0.12
66,Eric Quill\Eric-Quill,us USA,MF,Tampa Bay Mutiny,21,30,25,5,2205,74,5,11,0,0,28,1,0,24,0.20,0.65,0.20,0.65,0.98,1.14,0.04
67,Ted Chronopoulos\Ted-Chronopoulos,us USA,DFMF,New England Revolution,27,25,25,0,2205,88,5,1,0,0,31,4,0,9,0.20,0.24,0.20,0.24,0.37,1.27,0.16
68,Chris Klein\Chris-Klein,us USA,DFMF,Kansas City Wizards,24,27,26,1,2205,82,6,5,0,0,21,1,0,14,0.24,0.45,0.24,0.45,0.57,0.86,0.04
69,Chad Deering\Chad-Deering,us USA,MF,Dallas Burn,29,29,24,5,2195,76,2,5,0,0,43,8,0,16,0.08,0.29,0.08,0.29,0.66,1.76,0.33
70,Todd Yeagley\Todd-Yeagley,us USA,DFMF,Columbus Crew,27,25,24,1,2192,88,0,0,0,0,34,5,0,0,0.00,0.00,0.00,0.00,0.00,1.40,0.21
71,Ante Razov\Ante-Razov,us USA,FW,Chicago Fire,25,24,24,0,2145,89,18,4,2,3,49,3,2,63,0.76,0.92,0.67,0.84,2.64,2.06,0.21
72,Ariel Graziani\Ariel-Graziani,ec ECU,FW,Dallas Burn,28,24,24,0,2138,89,15,2,0,0,58,6,1,45,0.63,0.72,0.63,0.72,1.89,2.44,0.29
73,Richard Farrer\Richard-Farrer,za RSA,FWDF,Dallas Burn,28,28,20,8,2095,75,0,1,0,0,17,2,0,0,0.00,0.04,0.00,0.04,0.00,0.73,0.09
