name,startDate,endDate,league,hyphen
Steve Bancroft,1993,2002,nhl,false
Jeff Bandura,1981,1981,nhl,false
Daniel Bang,2013,2013,nhl,false
Frank Banham,1997,2003,nhl,false
Darren Banks,1993,1994,nhl,false
Murray Bannerman,1978,1987,nhl,false
Drew Bannister,1996,2002,nhl,false
Nicholas Baptiste,2017,2018,nhl,false
Ralph Barahona,1991,1992,nhl,false
Ivan Baranka,2008,2008,nhl,false
Ivan Barbashev,2017,2019,nhl,false
Andy Barbe,1951,1951,nhl,false
Bill Barber,1973,1984,nhl,false
Don Barber,1989,1992,nhl,false
Riley Barber,2017,2017,nhl,false
Mark Barberio,2013,2019,nhl,false
Krys Barch,2007,2014,nhl,false
Bill Barilko,1947,1951,nhl,false
Michal Barinka,2004,2006,nhl,false
Cam Barker,2006,2013,nhl,false
Doug Barkley,1958,1966,nhl,false
Aleksander Barkov,2014,2019,nhl,false
Bob Barlow,1970,1971,nhl,false
Matthew Barnaby,1993,2007,nhl,false
Blair Barnes,1983,1983,nhl,false
Norm Barnes,1977,1982,nhl,false
Ryan Barnes,2004,2004,nhl,false
Stu Barnes,1992,2008,nhl,false
Scott Barney,2003,2006,nhl,false
Marco Baron,1980,1985,nhl,false
Murray Baron,1990,2004,nhl,false
Normand Baron,1984,1986,nhl,false
Dave Barr,1982,1994,nhl,false
Tom Barrasso,1984,2003,nhl,false
Doug Barrault,1993,1994,nhl,false
Fred Barrett,1971,1984,nhl,false
John Barrett,1981,1988,nhl,false
Doug Barrie,1969,1972,nhl,false
Len Barrie,1990,2001,nhl,false
Tyson Barrie,2012,2019,nhl,false
Ed Barry,1947,1947,nhl,false
Marty Barry,1928,1940,nhl,false
Ray Barry,1952,1952,nhl,false
Lubos Bartecko,1999,2003,nhl,false
Robin Bartel,1986,1987,nhl,false
Matt Bartkowski,2011,2019,nhl,false
Jim Bartlett,1955,1961,nhl,false
Victor Bartley,2013,2016,nhl,false
Cliff Barton,1930,1940,nhl,false
Peter Bartos,2001,2001,nhl,false
Milan Bartovic,2003,2006,nhl,false
Oskars Bartulis,2010,2011,nhl,false
Mathew Barzal,2017,2019,nhl,false
Andrei Bashkirov,1999,2001,nhl,false
Cody Bass,2008,2017,nhl,false
Bob Bassen,1986,2000,nhl,false
Hank Bassen,1955,1968,nhl,false
Ryan Bast,1999,1999,nhl,false
Nathan Bastian,2019,2019,nhl,false
Baz Bastien,1946,1946,nhl,false
Shawn Bates,1998,2008,nhl,false
Frank Bathe,1975,1983,nhl,false
Drake Batherson,2019,2019,nhl,false
Andy Bathgate,1953,1971,nhl,false
Frank Bathgate,1953,1953,nhl,false
Bates Battaglia,1998,2008,nhl,false
Jeff Batters,1994,1995,nhl,false
Ruslan Batyrshin,1996,1996,nhl,false
Bobby Bauer,1937,1952,nhl,false
Garry Bauman,1967,1969,nhl,false
Ken Baumgartner,1988,1999,nhl,false
Mike Baumgartner,1975,1975,nhl,false
Nolan Baumgartner,1996,2010,nhl,false
Bob Baun,1957,1973,nhl,false
Kyle Baun,2015,2016,nhl,false
Sergei Bautin,1993,1996,nhl,false
Robin Bawa,1990,1994,nhl,false
Paul Baxter,1980,1987,nhl,false
Ryan Bayda,2003,2009,nhl,false
Gavin Bayreuther,2019,2019,nhl,false
Sandy Beadle,1981,1981,nhl,false
Jay Beagle,2009,2019,nhl,false
Jake Bean,2019,2019,nhl,false
Ethan Bear,2018,2018,nhl,false
Frank Beaton,1979,1980,nhl,false
Red Beattie,1931,1939,nhl,false
Francois Beauchemin,2003,2018,nhl,false
Norm Beaudin,1968,1971,nhl,false
Eric Beaudoin,2002,2004,nhl,false
Serge Beaudoin,1980,1980,nhl,false
Yves Beaudoin,1986,1988,nhl,false
Mark Beaufait,1993,1993,nhl,false
Nathan Beaulieu,2013,2019,nhl,false
Don Beaupre,1981,1997,nhl,false
Stephane Beauregard,1990,1994,nhl,false
Anthony Beauvillier,2017,2019,nhl,false
Barry Beck,1978,1990,nhl,false
Taylor Beck,2013,2017,nhl,false
Bob Beckett,1957,1964,nhl,false
Chris Beckford-Tseu,2008,2008,nhl,true
James Bedard,1950,1951,nhl,false
Jim Bedard,1978,1979,nhl,false
Clayton Beddoes,1996,1997,nhl,false
Jaroslav Bednar,2002,2004,nhl,false
John Bednarski,1975,1980,nhl,false
Kris Beech,2001,2008,nhl,false
Bob Beers,1990,1997,nhl,false
Eddy Beers,1982,1986,nhl,false
Steve Begin,1998,2013,nhl,false
Dick Behling,1941,1943,nhl,false
Marc Behrend,1984,1986,nhl,false
Frank Beisler,1937,1940,nhl,false
Derek Bekar,2000,2004,nhl,false
Wade Belak,1997,2011,nhl,false
Alain Belanger,1978,1978,nhl,false
Eric Belanger,2001,2013,nhl,false
Francis Belanger,2001,2001,nhl,false
Jesse Belanger,1992,2001,nhl,false
Ken Belanger,1995,2006,nhl,false
Roger Belanger,1985,1985,nhl,false
Yves Belanger,1975,1980,nhl,false
Matt Beleskey,2009,2019,nhl,false
Ed Belfour,1989,2007,nhl,false
Michel Belhumeur,1973,1976,nhl,false
Danny Belisle,1961,1961,nhl,false
Jean Beliveau,1951,1971,nhl,false
Billy Bell,1918,1924,nhl,false
Brendan Bell,2006,2012,nhl,false
Bruce Bell,1985,1990,nhl,false
Gordie Bell,1946,1946,nhl,false
Huddy Bell,1947,1947,nhl,false
Joe Bell,1943,1947,nhl,false
Mark Bell,2001,2012,nhl,false
Neil Belland,1982,1987,nhl,false
Shawn Belle,2007,2011,nhl,false
Blake Bellefeuille,2002,2003,nhl,false
Pete Bellefeuille,1926,1930,nhl,false
Pierre-Edouard Bellemare,2015,2019,nhl,false
Andy Bellemer,1933,1933,nhl,false
Brett Bellemore,2013,2015,nhl,false
Brian Bellows,1983,1999,nhl,false
Anton Belov,2014,2014,nhl,false
Louie Belpedio,2018,2019,nhl,false
Lin Bend,1943,1943,nhl,false
Jan Benda,1998,1998,nhl,false
Clint Benedict,1918,1930,nhl,false
Jamie Benn,2010,2019,nhl,false
Jordie Benn,2012,2019,nhl,false
Adam Bennett,1992,1994,nhl,false
Beau Bennett,2013,2018,nhl,false
Bill Bennett,1979,1980,nhl,false
Curt Bennett,1971,1980,nhl,false
Frank Bennett,1944,1944,nhl,false
Harvey Bennett,1945,1945,nhl,false
Harvey Bennett,1975,1979,nhl,false
Max Bennett,1936,1936,nhl,false
Rick Bennett,1990,1992,nhl,false
Sam Bennett,2015,2019,nhl,false
Brian Benning,1985,1995,nhl,false
Jim Benning,1982,1990,nhl,false
Matt Benning,2017,2019,nhl,false
Andre Benoit,2011,2016,nhl,false
Joe Benoit,1941,1947,nhl,false
Bill Benson,1941,1942,nhl,false
Bobby Benson,1925,1925,nhl,false
Sean Bentivoglio,2009,2009,nhl,false
Doug Bentley,1940,1954,nhl,false
Max Bentley,1941,1954,nhl,false
Reg Bentley,1943,1943,nhl,false
Ladislav Benysek,1998,2003,nhl,false
Paul Beraldo,1988,1989,nhl,false
Josef Beranek,1992,2001,nhl,false
Bryan Berard,1997,2008,nhl,false
Drake Berehowsky,1991,2004,nhl,false
Red Berenson,1962,1978,nhl,false
Bubba Berenzweig,2000,2003,nhl,false
Perry Berezan,1985,1993,nhl,false
Sergei Berezin,1997,2003,nhl,false
Aki Berg,1996,2006,nhl,false
Bill Berg,1989,1999,nhl,false
Fred Bergdinon,1926,1926,nhl,false
Todd Bergen,1985,1985,nhl,false
Sean Bergenheim,2004,2015,nhl,false
Mike Berger,1988,1989,nhl,false
Jean-Claude Bergeron,1991,1997,nhl,false
Marc-Andre Bergeron,2003,2013,nhl,false
Michel Bergeron,1975,1979,nhl,false
Patrice Bergeron,2004,2019,nhl,false
Yves Bergeron,1975,1977,nhl,false
